fname,path,model,run
CMIP6_CMIP_AS-RCEC_TaiESM1_historical_day_pr_gn_v20200626.ncml,CMIP/day/CMIP6_CMIP_AS-RCEC_TaiESM1_historical_day_gn_v20200626/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_AS-RCEC_TaiESM1_historical_day_pr_gn_v20200626.ncml,TaiESM1,r1i1p1f1
CMIP6_CMIP_CAMS_CAMS-CSM1-0_historical_day_pr_gn_v20200716.ncml,CMIP/day/CMIP6_CMIP_CAMS_CAMS-CSM1-0_historical_day_gn_v20200716/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CAMS_CAMS-CSM1-0_historical_day_pr_gn_v20200716.ncml,CAMS-CSM1-0,r2i1p1f1
CMIP6_CMIP_CAS_FGOALS-g3_historical_day_pr_gn_v20190826.ncml,CMIP/day/CMIP6_CMIP_CAS_FGOALS-g3_historical_day_gn_v20190826/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CAS_FGOALS-g3_historical_day_pr_gn_v20190826.ncml,FGOALS-g3,r1i1p1f1
CMIP6_CMIP_CCCma_CanESM5_historical_day_pr_gn_v20190429.ncml,CMIP/day/CMIP6_CMIP_CCCma_CanESM5_historical_day_gn_v20190429/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CCCma_CanESM5_historical_day_pr_gn_v20190429.ncml,CanESM5,r1i1p1f1
CMIP6_CMIP_CCCR-IITM_IITM-ESM_historical_day_pr_gn_v20191226.ncml,CMIP/day/CMIP6_CMIP_CCCR-IITM_IITM-ESM_historical_day_gn_v20191226/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CCCR-IITM_IITM-ESM_historical_day_pr_gn_v20191226.ncml,IITM-ESM,r1i1p1f1
CMIP6_CMIP_CMCC_CMCC-CM2-SR5_historical_day_pr_gn_v20200616.ncml,CMIP/day/CMIP6_CMIP_CMCC_CMCC-CM2-SR5_historical_day_gn_v20200616/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CMCC_CMCC-CM2-SR5_historical_day_pr_gn_v20200616.ncml,CMCC-CM2-SR5,r1i1p1f1
CMIP6_CMIP_CNRM-CERFACS_CNRM-CM6-1_historical_day_pr_gr_v20180917.ncml,CMIP/day/CMIP6_CMIP_CNRM-CERFACS_CNRM-CM6-1_historical_day_gr_v20180917/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CNRM-CERFACS_CNRM-CM6-1_historical_day_pr_gr_v20180917.ncml,CNRM-CM6-1,r1i1p1f2
CMIP6_CMIP_CNRM-CERFACS_CNRM-CM6-1-HR_historical_day_pr_gr_v20191021.ncml,CMIP/day/CMIP6_CMIP_CNRM-CERFACS_CNRM-CM6-1-HR_historical_day_gr_v20191021/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CNRM-CERFACS_CNRM-CM6-1-HR_historical_day_pr_gr_v20191021.ncml,CNRM-CM6-1-HR,r1i1p1f2
CMIP6_CMIP_CNRM-CERFACS_CNRM-ESM2-1_historical_day_pr_gr_v20181206.ncml,CMIP/day/CMIP6_CMIP_CNRM-CERFACS_CNRM-ESM2-1_historical_day_gr_v20181206/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_CNRM-CERFACS_CNRM-ESM2-1_historical_day_pr_gr_v20181206.ncml,CNRM-ESM2-1,r1i1p1f2
CMIP6_CMIP_EC-Earth-Consortium_EC-Earth3_historical_day_pr_gr_v20200310.ncml,CMIP/day/CMIP6_CMIP_EC-Earth-Consortium_EC-Earth3_historical_day_gr_v20200310/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_EC-Earth-Consortium_EC-Earth3_historical_day_pr_gr_v20200310.ncml,EC-Earth3,r1i1p1f1
CMIP6_CMIP_IPSL_IPSL-CM6A-LR_historical_day_pr_gr_v20180803.ncml,CMIP/day/CMIP6_CMIP_IPSL_IPSL-CM6A-LR_historical_day_gr_v20180803/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_IPSL_IPSL-CM6A-LR_historical_day_pr_gr_v20180803.ncml,IPSL-CM6A-LR,r1i1p1f1
CMIP6_CMIP_MPI-M_MPI-ESM1-2-HR_historical_day_pr_gn_v20190710.ncml,CMIP/day/CMIP6_CMIP_MPI-M_MPI-ESM1-2-HR_historical_day_gn_v20190710/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_MPI-M_MPI-ESM1-2-HR_historical_day_pr_gn_v20190710.ncml,MPI-ESM1-2-HR,r1i1p1f1
CMIP6_CMIP_NCAR_CESM2-WACCM_historical_day_pr_gn_v20190415.ncml,CMIP/day/CMIP6_CMIP_NCAR_CESM2-WACCM_historical_day_gn_v20190415/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_NCAR_CESM2-WACCM_historical_day_pr_gn_v20190415.ncml,CESM2-WACCM,r1i1p1f1
CMIP6_CMIP_NCC_NorESM2-LM_historical_day_pr_gn_v20190815.ncml,CMIP/day/CMIP6_CMIP_NCC_NorESM2-LM_historical_day_gn_v20190815/replicas/esgf.ceda.ac.uk/CMIP6_CMIP_NCC_NorESM2-LM_historical_day_pr_gn_v20190815.ncml,NorESM2-LM,r1i1p1f1
CMIP6_ScenarioMIP_AS-RCEC_TaiESM1_ssp585_day_pr_gn_v20200902.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_AS-RCEC_TaiESM1_ssp585_day_gn_v20200902/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_AS-RCEC_TaiESM1_ssp585_day_pr_gn_v20200902.ncml,TaiESM1,r1i1p1f1
CMIP6_ScenarioMIP_CAMS_CAMS-CSM1-0_ssp585_day_pr_gn_v20191106.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CAMS_CAMS-CSM1-0_ssp585_day_gn_v20191106/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CAMS_CAMS-CSM1-0_ssp585_day_pr_gn_v20191106.ncml,CAMS-CSM1-0,r2i1p1f1
CMIP6_ScenarioMIP_CAS_FGOALS-g3_ssp585_day_pr_gn_v20190818.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CAS_FGOALS-g3_ssp585_day_gn_v20190818/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CAS_FGOALS-g3_ssp585_day_pr_gn_v20190818.ncml,FGOALS-g3,r1i1p1f1
CMIP6_ScenarioMIP_CCCma_CanESM5_ssp585_day_pr_gn_v20190429.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CCCma_CanESM5_ssp585_day_gn_v20190429/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CCCma_CanESM5_ssp585_day_pr_gn_v20190429.ncml,CanESM5,r1i1p1f1
CMIP6_ScenarioMIP_CCCR-IITM_IITM-ESM_ssp585_day_pr_gn_v20200915.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CCCR-IITM_IITM-ESM_ssp585_day_gn_v20200915/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CCCR-IITM_IITM-ESM_ssp585_day_pr_gn_v20200915.ncml,IITM-ESM,r1i1p1f1
CMIP6_ScenarioMIP_CMCC_CMCC-CM2-SR5_ssp585_day_pr_gn_v20200622.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CMCC_CMCC-CM2-SR5_ssp585_day_gn_v20200622/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CMCC_CMCC-CM2-SR5_ssp585_day_pr_gn_v20200622.ncml,CMCC-CM2-SR5,r1i1p1f1
CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-CM6-1-HR_ssp585_day_pr_gr_v20191202.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-CM6-1-HR_ssp585_day_gr_v20191202/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-CM6-1-HR_ssp585_day_pr_gr_v20191202.ncml,CNRM-CM6-1-HR,r1i1p1f2
CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-CM6-1_ssp585_day_pr_gr_v20190219.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-CM6-1_ssp585_day_gr_v20190219/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-CM6-1_ssp585_day_pr_gr_v20190219.ncml,CNRM-CM6-1,r1i1p1f2
CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-ESM2-1_ssp585_day_pr_gr_v20191021.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-ESM2-1_ssp585_day_gr_v20191021/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_CNRM-CERFACS_CNRM-ESM2-1_ssp585_day_pr_gr_v20191021.ncml,CNRM-ESM2-1,r1i1p1f2
CMIP6_ScenarioMIP_DKRZ_MPI-ESM1-2-HR_ssp585_day_pr_gn_v20190710.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_DKRZ_MPI-ESM1-2-HR_ssp585_day_gn_v20190710/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_DKRZ_MPI-ESM1-2-HR_ssp585_day_pr_gn_v20190710.ncml,MPI-ESM1-2-HR,r1i1p1f1
CMIP6_ScenarioMIP_EC-Earth-Consortium_EC-Earth3_ssp585_day_pr_gr_v20200310.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_EC-Earth-Consortium_EC-Earth3_ssp585_day_gr_v20200310/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_EC-Earth-Consortium_EC-Earth3_ssp585_day_pr_gr_v20200310.ncml,EC-Earth3,r1i1p1f1
CMIP6_ScenarioMIP_IPSL_IPSL-CM6A-LR_ssp585_day_pr_gr_v20190903.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_IPSL_IPSL-CM6A-LR_ssp585_day_gr_v20190903/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_IPSL_IPSL-CM6A-LR_ssp585_day_pr_gr_v20190903.ncml,IPSL-CM6A-LR,r1i1p1f1
CMIP6_ScenarioMIP_NCAR_CESM2-WACCM_ssp585_day_pr_gn_v20200702.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_NCAR_CESM2-WACCM_ssp585_day_gn_v20200702/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_NCAR_CESM2-WACCM_ssp585_day_pr_gn_v20200702.ncml,CESM2-WACCM,r1i1p1f1
CMIP6_ScenarioMIP_NCC_NorESM2-LM_ssp585_day_pr_gn_v20191108.ncml,ScenarioMIP/day/CMIP6_ScenarioMIP_NCC_NorESM2-LM_ssp585_day_gn_v20191108/replicas/esgf.ceda.ac.uk/CMIP6_ScenarioMIP_NCC_NorESM2-LM_ssp585_day_pr_gn_v20191108.ncml,NorESM2-LM,r1i1p1f1
